chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
robinsons,robinsons-bacolod,Robinsons Place Bacolod,visayas,"Lacson Street, Mandalagan, Bacolod City",,https://robinsonsmalls.com/mall-info/robinsons-place-bacolod,mall,2026-07-26
robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas,"Dumaguete Business Park, Calindagan, Dumaguete City",,https://robinsonsmalls.com/mall-info/robinsons-place-dumaguete,mall,2026-07-26
robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas,"Corner De Leon & Quezon Sts., Iloilo City",,https://robinsonsmalls.com/mall-info/robinsons-place-iloilo,mall,2026-07-26
robinsons,robinsons-jaro,Robinsons Place Jaro,visayas,"E. Lopez St., Brgy. San Vicente, Jaro Iloilo City",,https://robinsonsmalls.com/mall-info/robinsons-place-jaro,mall,2026-07-26
robinsons,robinsons-ormoc,Robinsons Place Ormoc,visayas,"Brgy. Cogon, Ormoc City, Leyte",,https://robinsonsmalls.com/mall-info/robinsons-place-ormoc,mall,2026-07-26
robinsons,robinsons-pavia,Robinsons Place Pavia,visayas,"Sen. Benigno S. Aquino Jr. Ave, Brgy Ungka 2, Pavia, Iloilo",,https://robinsonsmalls.com/mall-info/robinsons-place-pavia,mall,2026-07-26
robinsons,robinsons-roxas,Robinsons Place Roxas,visayas,"Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy. Lawa-an, Roxas City",,https://robinsonsmalls.com/mall-info/robinsons-place-roxas,mall,2026-07-26
robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas,"Tabuan National Highway, Marasbaras, Tacloban City",,https://robinsonsmalls.com/mall-info/robinsons-place-tacloban,mall,2026-07-26
ayala,ayala-abreeza,Abreeza,mindanao,"J.P. Laurel Ave., Davao City",9,https://www.ayalamalls.com/explore/mall-directory/ayala-abreeza,mall,2026-07-26
ayala,ayala-bonifacio-high-street,Bonifacio High Street,metro-manila,"Bonifacio Global City, Taguig",20,https://www.ayalamalls.com/explore/mall-directory/ayala-bonifacio-high-street,mall,2026-07-26
ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas,"Gatuslao Street, Bacolod City",15,https://www.ayalamalls.com/explore/mall-directory/ayala-capitol-central,mall,2026-07-26
ayala,ayala-center-cebu,Ayala Center Cebu,visayas,"Cebu Business Park, Archbishop Reyes Ave. Cebu City 6000",6,https://www.ayalamalls.com/explore/mall-directory/ayala-center-cebu,mall,2026-07-26
ayala,ayala-centrio,Centrio Mall,mindanao,"Centrio Mall, CM Recto – Corrales Avenue, Cagayan de Oro City 9000",10,https://www.ayalamalls.com/explore/mall-directory/ayala-centrio,mall,2026-07-26
ayala,ayala-circuit,Ayala Malls Circuit,metro-manila,"Ayala Malls Circuit, Circuit Makati, Hippodromo, Carmona, Makati City",25,https://www.ayalamalls.com/explore/mall-directory/ayala-circuit,mall,2026-07-26
ayala,ayala-cloverleaf,Ayala Malls Cloverleaf,metro-manila,"Ayala Malls Cloverleaf, A. Bonifacio Ave., Brgy. Balingasa, Quezon City",12,https://www.ayalamalls.com/explore/mall-directory/ayala-cloverleaf,mall,2026-07-26
ayala,ayala-fairview-mall,Fairview Terraces,metro-manila,"Quirino Highway corner Maligaya Drive, Barangay Pasong Putik Novaliches, Quezon City 1118",28,https://www.ayalamalls.com/explore/mall-directory/ayala-fairview-mall,mall,2026-07-26
ayala,ayala-feliz,Ayala Malls Feliz,metro-manila,"Amang Rodriguez cor. J.P. Rizal, Brgy. Dela Paz, Pasig City",13,https://www.ayalamalls.com/explore/mall-directory/ayala-feliz,mall,2026-07-26
ayala,ayala-glorietta,Glorietta,metro-manila,"Glorietta, Ayala Center, Makati City",1,https://www.ayalamalls.com/explore/mall-directory/ayala-glorietta,mall,2026-07-26
ayala,ayala-greenbelt,Greenbelt,metro-manila,"Greenbelt Mall, Legazpi Street, Makati City",4,https://www.ayalamalls.com/explore/mall-directory/ayala-greenbelt,mall,2026-07-26
ayala,ayala-harbor-point,Harbor Point,north-luzon,"Subic Bay, Rizal Highway, Subic Bay Freeport Zone, 2200 Zambales",30,https://www.ayalamalls.com/explore/mall-directory/ayala-harbor-point,mall,2026-07-26
ayala,ayala-legazpi,Ayala Malls Legazpi,south-luzon,"Rizal Street corner Quezon Ave., Barangay Capantawan, Legazpi City, Albay 4500",32,https://www.ayalamalls.com/explore/mall-directory/ayala-legazpi,mall,2026-07-26
ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas,"I. Villa Street, Cebu IT Park, Cebu City",34,https://www.ayalamalls.com/explore/mall-directory/ayala-malls-central-bloc,mall,2026-07-26
ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila,"Macapagal Blvd cor. Aseana Avenue, Paranaque City",18,https://www.ayalamalls.com/explore/mall-directory/ayala-manila-bay,mall,2026-07-26
ayala,ayala-marikina,Ayala Malls Marikina,metro-manila,"Liwasang Kalayaan, Brgy. Marikina Heights, Marikina City",14,https://www.ayalamalls.com/explore/mall-directory/ayala-marikina,mall,2026-07-26
ayala,ayala-market-market,Market! Market!,metro-manila,"McKinley Parkway, Bonifacio Global City, Taguig 1634",7,https://www.ayalamalls.com/explore/mall-directory/ayala-market-market,mall,2026-07-26
ayala,ayala-marquee,MarQuee Mall,north-luzon,"MarQuee Mall, Francisco G. Nepomuceno Avenue, Angeles City, Pampanga 2009",3,https://www.ayalamalls.com/explore/mall-directory/ayala-marquee,mall,2026-07-26
ayala,ayala-metropoint,Metro Point Mall,metro-manila,"Metropoint Mall, EDSA Corner Taft Avenue and Zamora Street, Pasay City, Metro Manila",36,https://www.ayalamalls.com/explore/mall-directory/ayala-metropoint,mall,2026-07-26
ayala,ayala-one-bonifacio-high-street,One Bonifacio High Street,metro-manila,"5th Ave. Corner 28th BGC, Taguig City Located along 5th Ave. beside PSE Building Near The Shangri-La at The Fort and The Mind Museum",35,https://www.ayalamalls.com/explore/mall-directory/ayala-one-bonifacio-high-street,mall,2026-07-26
ayala,ayala-pavilion,Pavilion Mall,south-luzon,"Ayala Pavilion Mall Bldg. A, Binan, Laguna",19,https://www.ayalamalls.com/explore/mall-directory/ayala-pavilion,mall,2026-07-26
