brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
robinsons bank,0,0,0,0,0,0,28,0,0,0,28,1,False,False,Robinsons Bank
johnn lemon,0,3,0,1,2,0,8,14,0,0,28,5,False,True,JOHNN LEMON
converse,1,12,1,0,4,1,7,2,0,0,28,7,False,True,CONVERSE
mesa filipino moderne,0,0,0,0,0,0,0,28,0,0,28,1,False,False,MESA FILIPINO MODERNE
avocadoria,0,0,1,2,3,2,19,0,0,0,27,5,False,True,Avocadoria
alfamart,0,0,0,0,1,1,0,24,0,1,27,4,False,True,ALFAMART
jamaican patties,0,0,0,0,0,0,0,27,0,0,27,1,False,False,JAMAICAN PATTIES
coco fresh tea & juice,0,13,0,1,8,2,3,0,0,0,27,5,False,True,COCO FRESH TEA & JUICE
tecno mobile,0,0,0,0,0,0,1,26,0,0,27,2,False,True,TECNO MOBILE
sizzling plate,0,0,0,0,0,0,0,26,0,0,26,1,False,False,SIZZLING PLATE
blade,0,0,1,0,2,1,5,17,0,0,26,5,False,True,BLADE
popeyes,0,0,1,0,5,1,3,16,0,0,26,5,False,True,POPEYES
alter to fit,0,0,0,0,1,0,0,24,0,1,26,3,False,True,ALTER TO FIT
human,1,2,0,0,0,0,2,20,0,1,26,5,False,True,HUMAN
kyu kyu ramen 99,0,0,0,0,0,0,3,23,0,0,26,2,False,True,KYU KYU RAMEN 99
spyder,0,0,1,0,0,0,3,22,0,0,26,3,False,True,SPYDER
handyman do it best,0,8,0,0,0,0,18,0,0,0,26,2,False,True,Handyman Do It Best
denim hub,0,5,1,0,2,0,11,7,0,0,26,5,False,True,DENIM HUB
asianic,0,1,1,0,0,0,0,23,0,1,26,4,False,True,ASIANIC
techno kid,0,0,0,0,0,0,0,26,0,0,26,1,False,False,TECHNO KID
2go,0,2,0,0,0,1,1,22,0,0,26,4,False,True,2GO
res toe run,1,10,1,0,0,0,12,2,0,0,26,5,False,True,Res Toe Run
jockey,2,13,1,0,0,0,5,4,1,0,26,6,False,True,JOCKEY
fruity lemons,0,0,0,0,0,0,0,24,0,2,26,2,False,True,FRUITY LEMONS
freshaire,0,0,1,0,0,0,0,23,0,1,25,3,False,True,FRESHAIRE
blk 513,0,5,1,0,2,0,3,14,0,0,25,5,False,True,BLK 513
gingersnaps,0,6,0,0,2,0,3,14,0,0,25,4,False,True,GINGERSNAPS
blk cosmetics,1,7,1,0,2,0,2,12,0,0,25,6,False,True,BLK COSMETICS
jbl,0,3,1,0,0,0,3,18,0,0,25,4,False,True,JBL
a 1 driving,0,0,0,0,2,0,0,23,0,0,25,2,False,True,A-1 DRIVING
xiaomi,0,4,1,2,0,1,11,2,1,3,25,8,False,True,XIAOMI
miguelitos ice cream,0,2,2,0,1,0,13,6,0,1,25,6,False,True,MIGUELITOS ICE CREAM
stormtech,0,1,0,0,0,0,9,15,0,0,25,3,False,True,STORMTECH
